player_name,format,country,matches_played,batting_innings,not_outs,runs_scored,highest_score,batting_average,balls_faced,batting_strike_rate,hundreds,fifties,overs_bowled,wickets,bowling_average,economy_rate,bowling_strike_rate,label
S A Abbott*,t20i,Australia,29,0,6,50,13,7.14,49,102.04,0,0,91.7,34,25.15,9.33,16.18,Bowler
A C Agar*,t20i,Australia,49,0,5,279,29,11.63,278,100.36,0,0,173.7,49,23.04,6.5,21.27,Bowler
G J Bailey,t20i,Australia,29,0,7,470,63,26.11,334,140.72,0,2,0.0,0,26.11,0.0,0.0,Batsman
X C Bartlett*,t20i,Australia,21,0,4,73,34,10.43,70,104.29,0,0,66.5,24,22.04,7.95,16.63,Bowler
J P Behrendorff*,t20i,Australia,17,0,1,7,5,7.0,9,77.78,0,0,53.0,18,24.61,8.36,17.67,Bowler
D E Bollinger,t20i,Australia,9,0,2,1,1,0.0,1,100.0,0,0,35.0,9,27.67,7.11,23.33,Bowler
C J Boyce,t20i,Australia,7,0,1,4,3,4.0,7,57.14,0,0,23.0,8,19.0,6.61,17.25,Bowler
N W Bracken,t20i,Australia,19,0,3,15,4,5.0,22,68.18,0,0,62.8,19,23.05,6.97,19.84,Bowler
A T Carey*,t20i,Australia,42,0,5,267,37,11.13,243,109.88,0,0,0.0,0,11.13,0.0,0.0,Batsman
D T Christian,t20i,Australia,23,0,6,118,39,14.75,93,126.88,0,0,46.5,13,30.62,8.56,21.46,Bowler
S R Clark,t20i,Australia,9,0,0,0,0,0.0,0,0.0,0,0,36.0,13,18.23,6.58,16.62,Bowler
M J Clarke,t20i,Australia,34,0,5,488,67,21.22,473,103.17,0,1,26.0,6,37.5,8.65,26.0,Batsman
C Connolly*,t20i,Australia,11,0,1,28,13,4.67,30,93.33,0,0,25.0,3,77.0,9.24,50.0,Bowler
N M Coulter-Nile,t20i,Australia,28,0,4,150,34,13.64,120,125.0,0,0,97.0,34,23.56,8.26,17.12,Bowler
P J Cummins*,t20i,Australia,57,0,12,158,28,10.53,133,118.8,0,0,209.0,66,23.44,7.4,19.0,Bowler
T H David*,t20i,Australia,57,0,12,1044,102,30.71,600,174.0,1,5,0.0,0,30.71,0.0,0.0,Batsman
X J Doherty,t20i,Australia,11,0,3,18,9,18.0,17,105.88,0,0,38.0,10,30.0,7.89,22.8,Bowler
B R Dunk,t20i,Australia,5,0,0,99,32,19.8,69,143.48,0,0,0.0,0,19.8,0.0,0.0,Batsman
B J Dwarshuis*,t20i,Australia,15,0,3,63,17,7.88,79,79.75,0,0,57.0,22,24.36,9.4,15.55,Bowler
N Ellis*,t20i,Australia,36,0,6,39,12,7.8,61,63.93,0,0,125.5,55,17.78,7.79,13.69,Bowler
J P Faulkner,t20i,Australia,24,0,7,159,41,14.45,138,115.22,0,0,85.8,36,19.0,7.97,14.31,Bowler
A J Finch,t20i,Australia,103,0,12,3120,172,34.29,2189,142.53,2,19,2.0,0,0.0,13.5,0.0,Batsman
J Fraser-Mcgurk*,t20i,Australia,8,0,0,115,50,14.38,86,133.72,0,1,0.0,0,14.38,0.0,0.0,Batsman
